"Online-only Table 2: Information captured in the data template, relating to site-level information.",,,,
,,,,
Field,Format,Possible Values,Information,Required field (*)
WRB/FAO_SoilType,Multiple choice,"Acrisols, Albeluvisols, Alisols, Andosols, Anthrosols, Arenosols, Calcisols, Cambisols, Chernozem, Cryosols, Durisol, Ferralsols, Fluvisol, Gleysols, Gypsisols, Histosols, Kastanozem, Leptosols, Lixisols, Luvisols, Nitisols, Phaeozem, Planosols, Plinthosols, Podzols, Regosols, Retisols, Solonchaks, Solonetz, Technosols, Umbrisols, Vertisols","The type of soil at the site. Using the WRB/FAO classification 26, but only classified when given by the data providers in the same system",
LandUse,Multiple choice,"Primary vegetation, Secondary vegetation, Production - Arable, Production - Crop plantations, Production - Wood plantation, Pasture, Urban, Unknown","The category of land use 29,30 that the site was classified as. Classification was based on descriptions of the site in the text of the original publication or subsequent correspondence with the data provider",*
HabitatCover,Multiple choice,"Broadleaf evergreen forest, Broadleaf deciduous forest, Needleleaf evergreen forest, Needleleaf deciduous forest, Mixed forest, Tree open, Shrub, Herbaceous, Herbaceous with spare tree/shrub, Sparse vegetation, Cropland, Paddy field, Cropland/Other vegetation mosaic, Mangrove, Wetland, Bare area (consolidated, e.g. rock), Bare area (unconsolidated, e.g. sand), Urban, Snow/Ice, Water bodies, Unknown",The category of habitat cover (ESA CCI-LC 300m; https://www.esa-landcover-cci.org/) that the site was classified as. Classification was based on descriptions of the site in the text of the original publication or subsequent correspondence with the data provider,*
Management System,Multiple choice,"Annual crop, Integrated systems, Perennial crops, Pastures (grazed lands), Tree plantations, Unknown, NA","The management system at the site. Sites with no management, i.e. pristine or recovering sites, were categorised as ‘NA’. Classification system based on expert opinion. ",
Tillage / Pesticide / Fertilizer / Selectively harvested / Clear cut / Fire / Grazing all year / Rotation / Monoculture / Planted,Boolean,,"The presence or absence of each pressure at the site. The applicability of these depended on the ‘management system’. Thus, they were left empty or filled as ‘NA’ when not applicable (see Supplementary Material 1)",
Habitat as described,Text,,Free text field for a description of the site based on the original article or on emails from the data provider,*
SpeciesRichness,Numerical,,The species richness at the site (if available),"At least one of the following variables was required: SpeciesRichness, SpeciesRichnessUnit, Site_WetBiomass, Site_WetBiomassUnits, Site_Abundance, or Site_Abundance Units"
SpeciesRichnessUnit,Multiple choice,"Number of species, Species per cm2, Species per cm3, Species per m2, Species per m3, Other",The units of the species richness value,"At least one of the following variables was required: SpeciesRichness, SpeciesRichnessUnit, Site_WetBiomass, Site_WetBiomassUnits, Site_Abundance, or Site_Abundance Units"
Site_WetBiomass,Numerical,,The total wet biomass of the site (if available),"At least one of the following variables was required: SpeciesRichness, SpeciesRichnessUnit, Site_WetBiomass, Site_WetBiomassUnits, Site_Abundance, or Site_Abundance Units"
Site_WetBiomassUnits,Multiple choice,"g, g/m2",The units of the biomass value,"At least one of the following variables was required: SpeciesRichness, SpeciesRichnessUnit, Site_WetBiomass, Site_WetBiomassUnits, Site_Abundance, or Site_Abundance Units"
Site_Abundance,Numerical,,The total abundance of the site (if available),"At least one of the following variables was required: SpeciesRichness, SpeciesRichnessUnit, Site_WetBiomass, Site_WetBiomassUnits, Site_Abundance, or Site_Abundance Units"
Site_Abundance Units,Multiple choice,"Number of individuals, Individuals per cm2, Individuals per cm3, Individuals per m2, Individuals per m3",The units of the abundance value,"At least one of the following variables was required: SpeciesRichness, SpeciesRichnessUnit, Site_WetBiomass, Site_WetBiomassUnits, Site_Abundance, or Site_Abundance Units"
