rowID,file,Study_Name,Site_Name,PH,PH_Collection_Method,PH_mean,Organic_Carbon__percent,OC_mean,C.N_ratio,CN_mean,Sand__percent,Silt__percent,Clay__percent,sand_silt_clay_mean,ph_new,PHIHOX,CLYPPT,SLTPPT,SNDPPT,CECSOL,ORCDRC,phFinal,ClayFinal,SandFinal,SiltFinal,OCFinal,ESA,bio10_1,bio10_4,bio10_7,bio10_12,bio10_15,elevation,SnowMonths,SnowMonths_cat,Aridity,PETyr,PET_SD,SpeciesRichness,SpeciesRichnessUnit,Site_WetBiomass,Site_WetBiomassUnits,Site_Biomassm2,logBiomass,Site_Abundance,Site_AbundanceUnits,Sites_Abundancem2,logAbundance
11,000_Akulova2017,Komi_Reg,Ust_Vym_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33255814,15.49501661,41.50498339,43.66445183,26.41196013,4.694684385,5.33255814,15.49501661,43.66445183,41.50498339,4.694684385,Production - Herbaceous,1,10865,39.5,542,31,120,5,4plus,10773,543,47.7408371,3,Number of species,NA,NA,NA,NA,61.6,Individuals per m2,61.6,4.136765278
12,000_Akulova2017,Komi_Reg,Sykt_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.115614618,15.66112957,39.34219269,44.99667774,23.2358804,4.505647841,5.115614618,15.66112957,44.99667774,39.34219269,4.505647841,Herbaceous,1.8,10780,39,546,39,137,4,4plus,10792,555,47.84545517,3,Number of species,NA,NA,NA,NA,24.2,Individuals per m2,24.2,3.226843995
13,000_Akulova2017,Komi_Reg,Sykt_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.115614618,15.66112957,39.34219269,44.99667774,23.2358804,4.505647841,5.115614618,15.66112957,44.99667774,39.34219269,4.505647841,Herbaceous,1.8,10780,39,546,39,137,4,4plus,10792,555,47.84545517,5,Number of species,NA,NA,NA,NA,62.2,Individuals per m2,62.2,4.146304301
14,000_Akulova2017,Komi_Reg,Sykt_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.115614618,15.66112957,39.34219269,44.99667774,23.2358804,4.505647841,5.115614618,15.66112957,44.99667774,39.34219269,4.505647841,Herbaceous,1.8,10780,39,546,39,137,4,4plus,10792,555,47.84545517,6,Number of species,NA,NA,NA,NA,124.3,Individuals per m2,124.3,4.830710862
15,000_Akulova2017,Komi_Reg,Sykt_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.115614618,15.66112957,39.34219269,44.99667774,23.2358804,4.505647841,5.115614618,15.66112957,44.99667774,39.34219269,4.505647841,Mixed forest,1.8,10780,39,546,39,137,4,4plus,10792,555,47.84545517,5,Number of species,NA,NA,NA,NA,19.8,Individuals per m2,19.8,3.034952987
16,000_Akulova2017,Komi_Reg,Sykt_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.115614618,15.66112957,39.34219269,44.99667774,23.2358804,4.505647841,5.115614618,15.66112957,44.99667774,39.34219269,4.505647841,Needleleaf evergreen forest,1.8,10780,39,546,39,137,4,4plus,10792,555,47.84545517,5,Number of species,NA,NA,NA,NA,13.5,Individuals per m2,13.5,2.674148649
17,000_Akulova2017,Komi_Reg,Sykt_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.483388704,18.32890365,50.00332226,31.8372093,22.74418605,5.640199336,5.483388704,18.32890365,31.8372093,50.00332226,5.640199336,Herbaceous,1.2,10868,39.4,564,36,143,5,4plus,10383,547,47.95911026,5,Number of species,NA,NA,NA,NA,84.7,Individuals per m2,84.7,4.450852826
18,000_Akulova2017,Komi_Reg,Sykt_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.483388704,18.32890365,50.00332226,31.8372093,22.74418605,5.640199336,5.483388704,18.32890365,31.8372093,50.00332226,5.640199336,Broadleaf deciduous forest,1.2,10868,39.4,564,36,143,5,4plus,10383,547,47.95911026,6,Number of species,NA,NA,NA,NA,20,Individuals per m2,20,3.044522438
19,000_Akulova2017,Komi_Reg,Sykt_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.483388704,18.32890365,50.00332226,31.8372093,22.74418605,5.640199336,5.483388704,18.32890365,31.8372093,50.00332226,5.640199336,Broadleaf deciduous forest,1.2,10868,39.4,564,36,143,5,4plus,10383,547,47.95911026,5,Number of species,NA,NA,NA,NA,12.2,Individuals per m2,12.2,2.58021683
20,000_Akulova2017,Komi_Reg,Sykt_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.483388704,18.32890365,50.00332226,31.8372093,22.74418605,5.640199336,5.483388704,18.32890365,31.8372093,50.00332226,5.640199336,Broadleaf deciduous forest,1.2,10868,39.4,564,36,143,5,4plus,10383,547,47.95911026,5,Number of species,NA,NA,NA,NA,14.8,Individuals per m2,14.8,2.76000994
21,000_Akulova2017,Komi_Reg,Sykt_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082059801,14.3255814,45.16943522,41.33554817,23.09634551,5.0089701,5.082059801,14.3255814,41.33554817,45.16943522,5.0089701,Needleleaf evergreen forest,1.2,10886,39.5,541,38,125,6,4plus,10439,546,48.03210831,2,Number of species,NA,NA,NA,NA,12,Individuals per m2,12,2.564949357
22,000_Akulova2017,Komi_Reg,Kortker_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.149169435,16.49169435,39.67109635,44.16611296,41.71760797,13.99136213,5.149169435,16.49169435,44.16611296,39.67109635,13.99136213,Needleleaf evergreen forest,1.2,10971,39.7,557,31,109,6,4plus,10735,544,47.65909195,2,Number of species,NA,NA,NA,NA,11.6,Individuals per m2,11.6,2.533696814
23,000_Akulova2017,Komi_Reg,Kortker_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.149169435,16.49169435,39.67109635,44.16611296,41.71760797,13.99136213,5.149169435,16.49169435,44.16611296,39.67109635,13.99136213,Broadleaf deciduous forest,1.2,10971,39.7,557,31,109,6,4plus,10735,544,47.65909195,2,Number of species,NA,NA,NA,NA,20.1,Individuals per m2,20.1,3.04927304
24,000_Akulova2017,Komi_Reg,Kortker_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.149169435,16.49169435,39.67109635,44.16611296,41.71760797,13.99136213,5.149169435,16.49169435,44.16611296,39.67109635,13.99136213,Needleleaf evergreen forest,1.2,10971,39.7,557,31,109,6,4plus,10735,544,47.65909195,2,Number of species,NA,NA,NA,NA,23.8,Individuals per m2,23.8,3.210843653
25,000_Akulova2017,Komi_Reg,Kortker_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.149169435,16.49169435,39.67109635,44.16611296,41.71760797,13.99136213,5.149169435,16.49169435,44.16611296,39.67109635,13.99136213,Needleleaf evergreen forest,1.2,10971,39.7,557,31,109,6,4plus,10735,544,47.65909195,1,Number of species,NA,NA,NA,NA,18.2,Individuals per m2,18.2,2.954910279
26,000_Akulova2017,Komi_Reg,Ust_Kul_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.265780731,18.1627907,40.34219269,42.1627907,45.87043189,20.01129568,5.265780731,18.1627907,42.1627907,40.34219269,20.01129568,Herbaceous,1,11248,40.4,625,27,97,6,4plus,11702,552,48.5283432,4,Number of species,NA,NA,NA,NA,7.5,Individuals per m2,7.5,2.140066163
27,000_Akulova2017,Komi_Reg,Ust_Kul_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.265780731,18.1627907,40.34219269,42.1627907,45.87043189,20.01129568,5.265780731,18.1627907,42.1627907,40.34219269,20.01129568,Needleleaf evergreen forest,1,11248,40.4,625,27,97,6,4plus,11702,552,48.5283432,4,Number of species,NA,NA,NA,NA,9.7,Individuals per m2,9.7,2.370243741
28,000_Akulova2017,Komi_Reg,Ust_Kul_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.532890365,19.32890365,42.6744186,38.1627907,39.54817276,18.04318937,5.532890365,19.32890365,38.1627907,42.6744186,18.04318937,Production - Herbaceous,1,11249,40.4,618,26,94,5,4plus,11702,552,48.5283432,4,Number of species,NA,NA,NA,NA,13.6,Individuals per m2,13.6,2.681021529
29,000_Akulova2017,Komi_Reg,Ust_Kul_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.982059801,13.32890365,37.84385382,48.99667774,29.74418605,3.952491694,4.982059801,13.32890365,48.99667774,37.84385382,3.952491694,Herbaceous,0.3,11136,40.3,557,27,154,7,4plus,11871,529,47.12475967,5,Number of species,NA,NA,NA,NA,116.2,Individuals per m2,116.2,4.763881877
30,000_Akulova2017,Komi_Reg,Udor_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23255814,14.1627907,47.33887043,39,42.06644518,18.53621262,5.23255814,14.1627907,39,47.33887043,18.53621262,Needleleaf evergreen forest,0.5,10759,39.3,535,31,121,6,4plus,11142,525,47.35526276,3,Number of species,NA,NA,NA,NA,30.8,Individuals per m2,30.8,3.45946629
31,000_Akulova2017,Komi_Reg,Udor_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.232225914,13.83056478,46.17275748,39.99667774,30.40863787,5.380066445,5.232225914,13.83056478,39.99667774,46.17275748,5.380066445,Production - Herbaceous,0.5,10751,39.3,530,32,129,6,4plus,11180,525,47.22309494,4,Number of species,NA,NA,NA,NA,32.4,Individuals per m2,32.4,3.5085559
32,000_Akulova2017,Komi_Reg,Knyazh_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13255814,15.1627907,42.17275748,43.49501661,24.22923588,3.946511628,5.13255814,15.1627907,43.49501661,42.17275748,3.946511628,Needleleaf evergreen forest,1.1,10911,39.7,549,35,99,6,4plus,10534,543,47.7408371,3,Number of species,NA,NA,NA,NA,8,Individuals per m2,8,2.197224577
33,000_Akulova2017,Komi_Reg,Sosnogorsk_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Broadleaf evergreen forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
34,000_Akulova2017,Komi_Reg,Sosnogorsk_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Broadleaf deciduous forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
35,000_Akulova2017,Komi_Reg,Sosnogorsk_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Needleleaf evergreen forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
36,000_Akulova2017,Komi_Reg,Sosnogorsk_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Herbaceous,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,3.2,Individuals per m2,3.2,1.435084525
37,000_Akulova2017,Komi_Reg,Sosnogorsk_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Mixed forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
38,000_Akulova2017,Komi_Reg,Sosnogorsk_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Broadleaf deciduous forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
39,000_Akulova2017,Komi_Reg,Sosnogorsk_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Broadleaf deciduous forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,4.8,Individuals per m2,4.8,1.757857918
40,000_Akulova2017,Komi_Reg,Sosnogorsk_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Needleleaf evergreen forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
41,000_Akulova2017,Komi_Reg,Sosnogorsk_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Broadleaf deciduous forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
42,000_Akulova2017,Komi_Reg,Sosnogorsk_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Broadleaf deciduous forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,3.2,Individuals per m2,3.2,1.435084525
43,000_Akulova2017,Komi_Reg,Sosnogorsk_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Herbaceous,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,3,Number of species,NA,NA,NA,NA,32,Individuals per m2,32,3.496507561
44,000_Akulova2017,Komi_Reg,Sosnogorsk_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Needleleaf evergreen forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
45,000_Akulova2017,Komi_Reg,Sosnogorsk_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.132225914,16.1627907,47.34219269,36.99335548,32.59468439,5.788372093,5.132225914,16.1627907,36.99335548,47.34219269,5.788372093,Broadleaf deciduous forest,-0.4,11211,40.6,610,33,179,7,4plus,12558,512,46.55701447,2,Number of species,NA,NA,NA,NA,4.8,Individuals per m2,4.8,1.757857918
46,000_Akulova2017,Komi_Reg,Tr_Pechor_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.932225914,17.32890365,42.67774086,40.82724252,29.93023256,4.853820598,4.932225914,17.32890365,40.82724252,42.67774086,4.853820598,Herbaceous,-0.2,11853,42.2,721,31,174,7,4plus,12149,549,48.73418427,4,Number of species,NA,NA,NA,NA,39.2,Individuals per m2,39.2,3.693866996
47,000_Akulova2017,Komi_Reg,Tr_Pechor_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.932225914,17.32890365,42.67774086,40.82724252,29.93023256,4.853820598,4.932225914,17.32890365,40.82724252,42.67774086,4.853820598,Needleleaf evergreen forest,-0.2,11853,42.2,721,31,174,7,4plus,12149,549,48.73418427,3,Number of species,NA,NA,NA,NA,24.8,Individuals per m2,24.8,3.250374492
48,000_Akulova2017,Komi_Reg,Tr_Pechor_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.932225914,17.32890365,42.67774086,40.82724252,29.93023256,4.853820598,4.932225914,17.32890365,40.82724252,42.67774086,4.853820598,Production - Herbaceous,-0.2,11853,42.2,721,31,174,7,4plus,12149,549,48.73418427,3,Number of species,NA,NA,NA,NA,100.8,Individuals per m2,100.8,4.623010104
49,000_Akulova2017,Komi_Reg,Tr_Pechor_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082392027,16.32890365,42.84385382,41.3255814,29.56478405,5.286378738,5.082392027,16.32890365,41.3255814,42.84385382,5.286378738,Needleleaf evergreen forest,-0.2,11822,42.1,667,29,165,6,4plus,12094,549,48.8110733,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
50,000_Akulova2017,Komi_Reg,Tr_Pechor_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082392027,16.32890365,42.84385382,41.3255814,29.56478405,5.286378738,5.082392027,16.32890365,41.3255814,42.84385382,5.286378738,Mixed forest,-0.2,11822,42.1,667,29,165,6,4plus,12094,549,48.8110733,1,Number of species,NA,NA,NA,NA,3.2,Individuals per m2,3.2,1.435084525
51,000_Akulova2017,Komi_Reg,Tr_Pechor_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082392027,16.32890365,42.84385382,41.3255814,29.56478405,5.286378738,5.082392027,16.32890365,41.3255814,42.84385382,5.286378738,Herbaceous,-0.2,11822,42.1,667,29,165,6,4plus,12094,549,48.8110733,2,Number of species,NA,NA,NA,NA,11.2,Individuals per m2,11.2,2.501435952
52,000_Akulova2017,Komi_Reg,Tr_Pechor_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082392027,16.32890365,42.84385382,41.3255814,29.56478405,5.286378738,5.082392027,16.32890365,41.3255814,42.84385382,5.286378738,Broadleaf deciduous forest,-0.2,11822,42.1,667,29,165,6,4plus,12094,549,48.8110733,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
53,000_Akulova2017,Komi_Reg,Tr_Pechor_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082392027,16.32890365,42.84385382,41.3255814,29.56478405,5.286378738,5.082392027,16.32890365,41.3255814,42.84385382,5.286378738,Broadleaf deciduous forest,-0.2,11822,42.1,667,29,165,6,4plus,12094,549,48.8110733,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
54,000_Akulova2017,Komi_Reg,Tr_Pechor_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082392027,16.32890365,42.84385382,41.3255814,29.56478405,5.286378738,5.082392027,16.32890365,41.3255814,42.84385382,5.286378738,Needleleaf evergreen forest,-0.2,11822,42.1,667,29,165,6,4plus,12094,549,48.8110733,2,Number of species,NA,NA,NA,NA,6.4,Individuals per m2,6.4,2.00148
55,000_Akulova2017,Komi_Reg,Tr_Pechor_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.082392027,16.32890365,42.84385382,41.3255814,29.56478405,5.286378738,5.082392027,16.32890365,41.3255814,42.84385382,5.286378738,Broadleaf deciduous forest,-0.2,11822,42.1,667,29,165,6,4plus,12094,549,48.8110733,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
56,000_Akulova2017,Komi_Reg,Tr_Pechor_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.965448505,17.82724252,42.34219269,40.49501661,34.39202658,16.94750831,4.965448505,17.82724252,40.49501661,42.34219269,16.94750831,Herbaceous,0.2,11500,41.1,631,28,163,7,4plus,12272,550,48.72171402,1,Number of species,NA,NA,NA,NA,3.2,Individuals per m2,3.2,1.435084525
57,000_Akulova2017,Komi_Reg,Tr_Pechor_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.965448505,17.82724252,42.34219269,40.49501661,34.39202658,16.94750831,4.965448505,17.82724252,40.49501661,42.34219269,16.94750831,Needleleaf evergreen forest,0.2,11500,41.1,631,28,163,7,4plus,12272,550,48.72171402,1,Number of species,NA,NA,NA,NA,1.6,Individuals per m2,1.6,0.955511445
58,000_Akulova2017,Komi_Reg,Tr_Pechor_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.965448505,17.82724252,42.34219269,40.49501661,34.39202658,16.94750831,4.965448505,17.82724252,40.49501661,42.34219269,16.94750831,Needleleaf evergreen forest,0.2,11500,41.1,631,28,163,7,4plus,12272,550,48.72171402,3,Number of species,NA,NA,NA,NA,17.6,Individuals per m2,17.6,2.923161581
59,000_Akulova2017,Komi_Reg,Tr_Pechor_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.965448505,17.82724252,42.34219269,40.49501661,34.39202658,16.94750831,4.965448505,17.82724252,40.49501661,42.34219269,16.94750831,Herbaceous,0.2,11500,41.1,631,28,163,7,4plus,12272,550,48.72171402,3,Number of species,NA,NA,NA,NA,28.8,Individuals per m2,28.8,3.394508394
60,000_Akulova2017,Komi_Reg,Tr_Pechor_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.965448505,17.82724252,42.34219269,40.49501661,34.39202658,16.94750831,4.965448505,17.82724252,40.49501661,42.34219269,16.94750831,Mixed forest,0.2,11500,41.1,631,28,163,7,4plus,12272,550,48.72171402,1,Number of species,NA,NA,NA,NA,4.8,Individuals per m2,4.8,1.757857918
61,000_Akulova2017,Komi_Reg,Tr_Pechor_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.965448505,17.82724252,42.34219269,40.49501661,34.39202658,16.94750831,4.965448505,17.82724252,40.49501661,42.34219269,16.94750831,Needleleaf evergreen forest,0.2,11500,41.1,631,28,163,7,4plus,12272,550,48.72171402,1,Number of species,NA,NA,NA,NA,3.2,Individuals per m2,3.2,1.435084525
